Title,Price,N_Rooms,Square_meters,Floors,BathRooms,Neighborhood
"Monolocale via della Lupa 22, Montecitorio, Roma",450000,,43.0,5,,Centro Storico 
"Quadrilocale via del corso, Montecitorio, Roma",1400000,4,130.0,3,2,Centro Storico 
"Quadrilocale buono stato, terzo piano, San Giovanni, Roma",850000,4,110.0,3,2,Centro Storico 
"Quadrilocale via Labicana 83, Colosseo - Fori Imperiali, Roma",1310000,4,140.0,2,2,Centro Storico 
"Appartamento all'asta via di San Giacomo 22/25A, Roma",1143990,2,83.0,0,,Centro Storico 
"Villa all'asta via Pace del Mela 26, Roma",112490,3,80.0,,,Centro Storico 
"Quadrilocale via dei Chiavari, Campo de' Fiori, Roma",2700000,4,175.0,2,3,Centro Storico 
"Bilocale vicolo della Campanella, Via Giulia, Roma",630000,2,49.0,2,,Centro Storico 
"Quadrilocale via Aureliana 2, Sallustiano, Roma",830000,4,154.0,4,2,Centro Storico 
"Attico via Mario de' Fiori, Spagna, Roma",2550000,5,152.0,2 - 3,2,Centro Storico 
"Appartamento via Sicilia, Vittorio Veneto, Roma",728000,,104.0,3,,Centro Storico 
"Quadrilocale via Aureliana, Sallustiano, Roma",830000,4,154.0,4,2,Centro Storico 
"Quadrilocale via Giuseppe Zanardelli, Piazza Navona, Roma",1630000,4,173.0,4,2,Centro Storico 
"Bilocale via dell'Oca, Piazza del Popolo, Roma",630000,2,70.0,2,,Centro Storico 
"Quadrilocale piazza della Torretta, Montecitorio, Roma",890000,4,110.0,2,2,Centro Storico 
"Quadrilocale via Merulana, Esquilino, Roma",660000,4,117.0,2,2,Centro Storico 
"Bilocale via Rasella 8, Barberini, Roma",650000,2,100.0,-1,,Centro Storico 
"Bilocale vicolo Del Polverone 1, Via Giulia, Roma",349000,2,44.0,S,,Centro Storico 
"Quadrilocale via Augusto Valenziani 12, Sallustiano, Roma",610000,4,128.0,3,,Centro Storico 
"Trilocale via Palermo, Monti, Roma",700000,3,79.0,1,2,Centro Storico 
"Quadrilocale largo Arenula, Largo Argentina, Roma",820000,4,96.0,1,3,Centro Storico 
"Bilocale via Della Scrofa, Montecitorio, Roma",395000,2,65.0,0,,Centro Storico 
"Trilocale vicolo Delle Grotte, Campo de' Fiori, Roma",369000,3,70.0,,,Centro Storico 
"Trilocale piazza Campo De' Fiori 8, Spagna, Roma",1290000,3,106.0,3,2,Centro Storico 
"Appartamento piazza Campo de' Fiori, Campo de' Fiori, Roma",1850000,5,180.0,2,2,Centro Storico 
"Bilocale via Baccina, Monti, Roma",370000,2,55.0,1,,Centro Storico 
"Monolocale via Boncompagni, Sallustiano, Roma",135000,,25.0,0,,Centro Storico 
"Quadrilocale via Mercenate, Colle Oppio, Roma",1100000,4,130.0,4,2,Centro Storico 
"Trilocale via dei Due Macelli, Spagna, Roma",1390000,3,150.0,2,2,Centro Storico 
"Appartamento via sicilia, Vittorio Veneto, Roma",2527000,,360.0,3,,Centro Storico 
"Trilocale via Passeggiata di Ripetta, Piazza del Popolo, Roma",1020000,3,100.0,2,2,Centro Storico 
"Quadrilocale via Angelo Poliziano, Colle Oppio, Roma",485000,4,150.0,0,2,Centro Storico 
"Appartamento vicolo Scavolino, Trevi, Roma",1750000,5,163.0,1,3,Centro Storico 
"Trilocale via San Giovanni in Laterano 85, Colle Oppio, Roma",409000,3,66.0,5,2,Centro Storico 
"Quadrilocale piazza Sforza Cesarini, Via Giulia, Roma",950000,4,155.0,1,2,Centro Storico 
"Appartamento via Sicilia, Vittorio Veneto, Roma",3260000,,466.0,3,,Centro Storico 
"Appartamento via Sicilia, Vittorio Veneto, Roma",2240000,,,0,,Centro Storico 
"Monolocale via Della Purificazione, Spagna, Roma",185000,,50.0,0,,Centro Storico 
"Quadrilocale via Aureliana, Sallustiano, Roma",490000,4,100.0,1,,Centro Storico 
"Attico via Marco Aurelio, Colosseo - Fori Imperiali, Roma",490000,2,59.0,4,,Centro Storico 
"Appartamento via dei Greci, Piazza del Popolo, Roma",1750000,5+,170.0,2,3,Centro Storico 
"Attico via del Lavatore, Trevi, Roma",2500000,5+,201.0,2,3,Centro Storico 
"Appartamento via della Croce, Spagna, Roma",1850000,5+,202.0,5,3,Centro Storico 
"Appartamento all'asta via Merulana, Roma",452250,4,140.0,5,,Centro Storico 
"Quadrilocale via di Sant'Agata dei Goti, Monti, Roma",950000,4,106.0,3,2,Centro Storico 
"Quadrilocale via del Governo Vecchio, Piazza Navona, Roma",1200000,4,117.0,4,2,Centro Storico 
"Quadrilocale via Arenula, Largo Argentina, Roma",2200000,4,160.0,4,2,Centro Storico 
"Bilocale via della Scrofa, Montecitorio, Roma",535000,2,72.0,2,,Centro Storico 
"Bilocale via della Scrofa, Montecitorio, Roma",375000,2,47.0,2,,Centro Storico 
"Bilocale via Angelo Brunetti, Piazza del Popolo, Roma",410000,2,45.0,0,,Centro Storico 
"Bilocale via Bezzecca, Castro Pretorio, Roma",290000,2,74.0,0,,Centro Storico 
"Quadrilocale via Angelo Poliziano 70, Colle Oppio, Roma",740000,4,126.0,3,,Centro Storico 
"Quadrilocale via D'ascanio 23, Montecitorio, Roma",870000,4,102.0,1,,Centro Storico 
"Quadrilocale via Aureliana 2, Sallustiano, Roma",830000,4,154.0,4,2,Centro Storico 
"Villa all'asta via della Navicella 41 Municipio I�, Roma",4640000,,,,,Centro Storico 
"Appartamento piazza Sallustio, Sallustiano, Roma",620000,5,145.0,2,2,Centro Storico 
"Appartamento corso del Rinascimento 81, Piazza Navona, Roma",1490000,5,152.0,2,3+,Centro Storico 
"Appartamento via Cavour, Colle Oppio, Roma",749000,5,152.0,3,2,Centro Storico 
"Quadrilocale piazza di Spagna, Spagna, Roma",1050000,4,123.0,3,2,Centro Storico 
"Appartamento vicolo Domizio 4, Piazza Navona, Roma",1480000,5,200.0,1,3,Centro Storico 
"Appartamento via Arenula, 83, Largo Argentina, Roma",1995000,5+,250.0,3,2,Centro Storico 
